alg,seed,best_cost,energy_j,completion,wall_time_s,iterations
qipsode,14,54723.2578125,13963.958984375,0.3402063846588135,0.8979496210813522,300
qipsode,15,53307.375,13699.5517578125,0.22615946829319,0.87776432139799,300
qipsode,16,50657.62109375,13768.03125,0.29054343700408936,0.8619739399291575,300
qipsode,17,47579.16796875,14278.23828125,0.3960992693901062,0.8652586098760366,300
qipsode,18,51854.04296875,14275.71484375,0.298279732465744,0.87617695517838,300
qipsode,19,40834.80859375,14559.9375,0.4237506687641144,0.8700291560962796,300
qipsode,20,56785.52734375,13714.5615234375,0.2261791229248047,0.8712121741846204,300
qipsode,21,54345.4140625,13246.005859375,0.35194334387779236,0.866851523052901,300
qipsode,22,47890.76953125,13263.86328125,0.27581310272216797,0.8672095979563892,300
qipsode,23,49178.609375,13596.9345703125,0.32083961367607117,0.8792330562137067,300
qipsode,24,49506.82421875,14124.5673828125,0.32736024260520935,0.8811282021924853,300
qipsode,25,50819.25,14201.73828125,0.2908281683921814,0.879789215978235,300
qipsode,26,55232.87890625,13833.8203125,0.21455487608909607,0.8795279650948942,300
qipsode,27,48665.859375,13999.1669921875,0.3172423243522644,0.8773330086842179,300
qipsode,28,40946.9375,14442.818359375,0.45492488145828247,0.879924840759486,300
qipsode,29,51407.76953125,13546.34375,0.23898403346538544,0.8759221630170941,300
pso,0,49838.6640625,14330.0146484375,0.31882256269454956,0.6675540199503303,300
pso,1,58002.640625,14680.533203125,0.258894145488739,0.6823645746335387,300
pso,2,57935.6640625,14881.8232421875,0.3399251401424408,0.6732186819426715,300
pso,3,53532.171875,14509.8408203125,0.3340039849281311,0.6599341132678092,300
pso,4,52857.4375,13794.244140625,0.3803795874118805,0.6621326166205108,300
pso,5,58817.8828125,13883.337890625,0.2947593331336975,0.6659208880737424,300
pso,6,50050.28125,13283.5341796875,0.3829099237918854,0.6710139708593488,300
pso,7,50688.34765625,14172.1611328125,0.3670204281806946,0.6642667520791292,300
pso,8,53485.0625,14304.595703125,0.36609312891960144,0.6615887503139675,300
pso,9,52317.9140625,15120.4609375,0.33886098861694336,0.6660769870504737,300
pso,10,45378.6953125,14818.53515625,0.4966088533401489,0.665917731821537,300
pso,11,56468.484375,14173.998046875,0.19823729991912842,0.6750017954036593,300
pso,12,55228.0078125,14925.30078125,0.3426828980445862,0.660988378804177,300
pso,13,68755.6328125,14853.08203125,0.11917074024677277,0.6744997310452163,300
pso,14,55593.8046875,15652.583984375,0.35344913601875305,0.669644795358181,300
pso,15,53500.34765625,13889.203125,0.22619634866714478,0.6698444387875497,300
pso,16,50594.0,14350.220703125,0.30296361446380615,0.6684171291999519,300
pso,17,49650.3515625,15754.462890625,0.3853098452091217,0.6675918688997626,300
pso,18,53046.4609375,16142.716796875,0.31087660789489746,0.6648911070078611,300
pso,19,41315.125,15607.828125,0.43619850277900696,0.6631685891188681,300
pso,20,57523.9609375,14452.9970703125,0.2261791229248047,0.6698514730669558,300
pso,21,54780.9921875,13677.4541015625,0.35187816619873047,0.6635490567423403,300
pso,22,48438.92578125,13812.0205078125,0.27581310272216797,0.6693523139692843,300
pso,23,50738.5,14910.515625,0.31613829731941223,0.6750022359192371,300
pso,24,49167.5625,15291.5390625,0.35599473118782043,0.6707052066922188,300
pso,25,53066.53125,15872.892578125,0.27967023849487305,0.6670995349995792,300
pso,26,55943.33203125,14230.796875,0.20860745012760162,0.6803214908577502,300
pso,27,48860.5078125,13610.4716796875,0.3057534396648407,0.675172780174762,300
pso,28,41577.9140625,14755.220703125,0.4483732283115387,0.6660370822064579,300
pso,29,51891.30859375,14803.53515625,0.2545344829559326,0.6719240448437631,300
ga,0,85617.296875,19996.81640625,0.3201526701450348,0.8159523438662291,300
ga,1,81094.296875,18670.087890625,0.258894145488739,0.8075846168212593,300
ga,2,73792.65625,18921.34765625,0.324855774641037,0.8076099180616438,300
ga,3,90789.2734375,20274.041015625,0.31843817234039307,0.8009146577678621,300
ga,4,96480.28125,19489.935546875,0.3803795874118805,0.8020621901378036,300
ga,5,67676.453125,18882.13671875,0.2947593331336975,0.801663616206497,300
ga,6,104577.0546875,19656.275390625,0.3829099237918854,0.8072094866074622,300
ga,7,102077.3828125,19002.3671875,0.37986817955970764,0.8096795799210668,300
ga,8,63086.08984375,18504.48828125,0.2937453091144562,0.8064505872316658,300
ga,9,122930.1875,19197.962890625,0.33886098861694336,0.8075757808983326,300
ga,10,87443.5,19941.11328125,0.4726217985153198,0.8032099488191307,300
ga,11,124438.234375,20005.673828125,0.19823729991912842,0.8017823188565671,300
ga,12,67973.453125,18467.63671875,0.32972338795661926,0.8048556507565081,300
ga,13,93876.046875,18496.392578125,0.10978370904922485,0.8072585980407894,300
ga,14,75495.65625,19078.521484375,0.32391300797462463,0.8068660940043628,300
ga,15,88844.0859375,18239.67578125,0.21297679841518402,0.8000496472232044,300
ga,16,93592.796875,19525.7578125,0.2762947678565979,0.8044668696820736,300
ga,17,84183.765625,18488.0625,0.37246933579444885,0.8060471923090518,300
ga,18,77704.09375,19014.328125,0.2663086950778961,0.7890027379617095,300
ga,19,65890.5859375,18833.5546875,0.3856208324432373,0.7844090759754181,300
ga,20,71369.75,18351.9453125,0.2242419272661209,0.7824400328099728,300
ga,21,110236.625,19350.5078125,0.3519497811794281,0.7853894168511033,300
ga,22,93605.296875,20024.9765625,0.27581310272216797,0.782077856361866,300
ga,23,95205.859375,19692.107421875,0.31613829731941223,0.7826123391278088,300
ga,24,85916.1484375,19519.83984375,0.3327544927597046,0.7806753348559141,300
ga,25,77729.7578125,19288.16015625,0.2880967855453491,0.7780237449333072,300
ga,26,96959.03125,19181.236328125,0.19775189459323883,0.7818885357119143,300
ga,27,88257.71875,19358.55859375,0.3059445023536682,0.7854347610846162,300
ga,28,80784.3671875,19414.767578125,0.43001651763916016,0.7797127249650657,300
ga,29,92404.3359375,19784.861328125,0.26306626200675964,0.7791869123466313,300
de,0,50112.91796875,14029.8544921875,0.30780330300331116,0.7061992972157896,300
de,1,56673.5546875,13351.4453125,0.258894145488739,0.7061654222197831,300
de,2,57347.6953125,13524.427734375,0.32812875509262085,0.7096078810282052,300
de,3,52202.84765625,13847.6640625,0.3453902304172516,0.7062320248223841,300
de,4,52378.19140625,13315.0009765625,0.3803795874118805,0.7088175220414996,300
de,5,59465.43359375,13581.2880859375,0.27985554933547974,0.7025823309086263,300
de,6,50197.84375,13431.09375,0.3829099237918854,0.7040672372095287,300
de,7,48856.2265625,14395.576171875,0.40265148878097534,0.7030192757956684,300
de,8,54470.5859375,14711.763671875,0.3547411262989044,0.7049586540088058,300
de,9,50633.5859375,13436.130859375,0.33886098861694336,0.7054305002093315,300
de,10,43855.1640625,13423.853515625,0.4987313151359558,0.7045814599841833,300
de,11,55749.609375,13455.1201171875,0.19823729991912842,0.7062192671000957,300
de,12,54251.51953125,13935.10546875,0.3424593508243561,0.7075746860355139,300
de,13,67764.640625,13287.642578125,0.10978370904922485,0.7065991619601846,300
de,14,53780.90234375,14269.5205078125,0.36040714383125305,0.707055242266506,300
de,15,52777.0,14586.8759765625,0.25418177247047424,0.7079672333784401,300
de,16,49633.0859375,13497.900390625,0.30505213141441345,0.7109345667995512,300
de,17,47047.328125,13596.779296875,0.3933858871459961,0.7076081857085228,300
de,18,52322.59375,14228.107421875,0.2886413335800171,0.7085751472041011,300
de,19,40583.3203125,13728.861328125,0.41103944182395935,0.7091525532305241,300
de,20,56355.2421875,13284.27734375,0.2261791229248047,0.7073036385700107,300
de,21,54907.9140625,14531.9775390625,0.3633510172367096,0.7044265097938478,300
de,22,48012.76171875,13385.85546875,0.27581310272216797,0.7041916470043361,300
de,23,48873.890625,13795.548828125,0.3304470181465149,0.7066395487636328,300
de,24,49255.484375,13843.4931640625,0.32679489254951477,0.7045106720179319,300
de,25,49591.2734375,13619.873046875,0.3033413589000702,0.7080684928223491,300
de,26,55706.4453125,13991.4873046875,0.208561509847641,0.7052711769938469,300
de,27,47952.2890625,13955.4306640625,0.33043473958969116,0.7062660660594702,300
de,28,40190.78125,14170.46875,0.4648747742176056,0.7059003259055316,300
de,29,49954.90625,13860.353515625,0.27449831366539,0.7052525812759995,300
