alg,M,seed,best_cost,energy_j,completion,wall_time_s
qipso,1,26,149330.625,16891.052734375,0.12594959139823914,0.5781477550044656
qipso,1,27,156708.03125,14878.349609375,0.19382238388061523,0.5824929168447852
qipso,1,28,140654.34375,16137.580078125,0.23666316270828247,0.5778494398109615
qipso,1,29,152553.96875,15465.2255859375,0.19966784119606018,0.5801458479836583
qipsode,1,0,133111.21875,14422.458984375,0.20587186515331268,0.73306037299335
qipsode,1,1,145699.140625,14467.8173828125,0.23950152099132538,0.6655761320143938
qipsode,1,2,136858.265625,13854.056640625,0.210600346326828,0.66577691398561
qipsode,1,3,144788.65625,13875.7412109375,0.18168653547763824,0.6656056907959282
qipsode,1,4,151201.25,13655.185546875,0.1986432671546936,0.6641886052675545
qipsode,1,5,138373.0,14655.345703125,0.19999973475933075,0.6644953740760684
qipsode,1,6,152824.25,14591.6923828125,0.20581401884555817,0.6647823788225651
qipsode,1,7,134669.140625,14254.3466796875,0.21679873764514923,0.6639568023383617
qipsode,1,8,148975.265625,14228.1962890625,0.17408199608325958,0.6649802271276712
qipsode,1,9,147456.203125,14132.2998046875,0.20067353546619415,0.6653815731406212
qipsode,1,10,127888.6953125,14485.275390625,0.25929731130599976,0.6666354509070516
qipsode,1,11,138729.203125,14368.248046875,0.23041298985481262,0.667296193074435
qipsode,1,12,139809.84375,15048.0751953125,0.22816608846187592,0.6690891389735043
qipsode,1,13,161777.75,14886.7314453125,0.19883067905902863,0.6657981029711664
qipsode,1,14,138784.421875,14106.6669921875,0.195931538939476,0.6693896702490747
qipsode,1,15,151760.90625,14511.2158203125,0.18592876195907593,0.6675121518783271
qipsode,1,16,154889.890625,14073.5166015625,0.17902050912380219,0.665261453948915
qipsode,1,17,132405.453125,14639.146484375,0.20839308202266693,0.6653327881358564
qipsode,1,18,152269.234375,14750.708984375,0.2419116050004959,0.6644828417338431
qipsode,1,19,149643.421875,15009.267578125,0.2337271273136139,0.6703022737056017
qipsode,1,20,159869.03125,14274.583984375,0.13424105942249298,0.6632598973810673
qipsode,1,21,157798.859375,14297.330078125,0.2024110108613968,0.6654315222986042
qipsode,1,22,138205.53125,14302.3369140625,0.20862099528312683,0.6646021520718932
qipsode,1,23,146165.84375,15191.673828125,0.2313472181558609,0.6656609550118446
qipsode,1,24,156022.8125,14074.9052734375,0.1857149451971054,0.6614001491107047
qipsode,1,25,126329.4453125,14456.140625,0.2342972457408905,0.6628335067071021
qipsode,1,26,146617.921875,13912.869140625,0.12419760227203369,0.6624694741331041
qipsode,1,27,155943.8125,13931.3994140625,0.19278378784656525,0.6639473689720035
qipsode,1,28,139196.921875,15264.41015625,0.24024470150470734,0.6631490443833172
qipsode,1,29,151746.765625,13864.287109375,0.19503407180309296,0.6671058069914579
pso,1,0,134515.734375,15852.3701171875,0.20611153542995453,0.5053930468857288
pso,1,1,147729.0625,16093.041015625,0.23712092638015747,0.5030235261656344
pso,1,2,135806.0625,15442.2578125,0.22754566371440887,0.5045542102307081
pso,1,3,144672.6875,14584.5732421875,0.18684224784374237,0.5057762297801673
pso,1,4,151463.390625,15255.4140625,0.20643915235996246,0.5045098960399628
pso,1,5,139885.21875,16266.330078125,0.20063842833042145,0.5051191947422922
pso,1,6,152799.0625,14172.40625,0.2035498172044754,0.5066868979483843
pso,1,7,135516.59375,15326.41015625,0.21825973689556122,0.5052687865681946
pso,1,8,148837.78125,15019.9033203125,0.17977747321128845,0.5052575902082026
pso,1,9,148790.9375,15348.9736328125,0.19996574521064758,0.5054402658715844
pso,1,10,129344.4140625,16505.521484375,0.26298460364341736,0.5077240238897502
pso,1,11,140537.578125,15364.6015625,0.22538787126541138,0.5051913456991315
pso,1,12,141475.609375,15229.7490234375,0.21898482739925385,0.5027863448485732
pso,1,13,164167.625,15665.8759765625,0.19005048274993896,0.5016131834127009
pso,1,14,140868.3125,15583.015625,0.19201350212097168,0.504172625951469
pso,1,15,151444.59375,14916.73828125,0.1902102380990982,0.5029768859967589
pso,1,16,155000.03125,14968.8125,0.18359814584255219,0.5042399177327752
pso,1,17,134543.375,15939.087890625,0.20281416177749634,0.5032229642383754
pso,1,18,153073.109375,15614.12109375,0.2422398030757904,0.5065335482358932
pso,1,19,150053.28125,15431.6513671875,0.23379850387573242,0.5046056797727942
pso,1,20,160937.078125,15218.3095703125,0.13350193202495575,0.5046581691130996
pso,1,21,158146.0,14551.2431640625,0.2018929123878479,0.5018612737767398
pso,1,22,139954.453125,15814.3701171875,0.20710796117782593,0.5045966738834977
pso,1,23,148652.203125,16094.4677734375,0.22205369174480438,0.5022962964139879
pso,1,24,154809.875,16278.8046875,0.20531566441059113,0.504884164314717
pso,1,25,129232.609375,16927.353515625,0.23134076595306396,0.499896421097219
pso,1,26,147183.203125,13750.4931640625,0.11939533799886703,0.5042186481878161
pso,1,27,156857.859375,15030.8818359375,0.19388969242572784,0.5037806159816682
pso,1,28,140940.9375,16378.763671875,0.23638473451137543,0.5028740800917149
pso,1,29,153139.46875,15878.8916015625,0.19866631925106049,0.49947055615484715
ga,1,0,154419.578125,18416.703125,0.17529423534870148,0.6234183050692081
ga,1,1,179765.46875,19084.17578125,0.22962646186351776,0.6020844909362495
ga,1,2,192724.453125,19736.71484375,0.20111803710460663,0.5998140960000455
ga,1,3,217909.734375,19009.9375,0.16699504852294922,0.6018731561489403
ga,1,4,182249.65625,18500.0390625,0.18881680071353912,0.5981689160689712
ga,1,5,208039.328125,18996.787109375,0.16007688641548157,0.5989989689551294
ga,1,6,211245.140625,20718.5234375,0.17996151745319366,0.5965707013383508
ga,1,7,173285.0,19514.240234375,0.18961067497730255,0.6004055580124259
ga,1,8,212933.15625,20012.65234375,0.15170828998088837,0.6019818871282041
ga,1,9,187174.28125,19650.2890625,0.1916036158800125,0.6048241080716252
ga,1,10,145709.84375,18379.08984375,0.2419113963842392,0.6041356129571795
ga,1,11,198145.765625,19060.837890625,0.2125919908285141,0.6059521711431444
ga,1,12,197089.140625,19549.875,0.18761225044727325,0.6048920289613307
ga,1,13,191520.984375,18598.583984375,0.17939022183418274,0.6045408099889755
ga,1,14,174790.984375,18853.296875,0.19217167794704437,0.6030652606859803
ga,1,15,239044.828125,21339.099609375,0.17712417244911194,0.6055852039717138
ga,1,16,228575.40625,19242.77734375,0.16223983466625214,0.607020540162921
ga,1,17,185379.953125,18904.4140625,0.17322692275047302,0.6068671150133014
ga,1,18,187363.6875,19477.04296875,0.23292066156864166,0.607937736902386
ga,1,19,186507.40625,18877.546875,0.22111725807189941,0.5998977082781494
ga,1,20,180467.265625,18724.6484375,0.11257573962211609,0.6037277998402715
ga,1,21,211072.59375,20287.693359375,0.1862078607082367,0.603609028737992
ga,1,22,211938.90625,19774.408203125,0.18987531960010529,0.601662578061223
ga,1,23,237830.125,19909.841796875,0.2192382961511612,0.6042872248217463
ga,1,24,180179.4375,18251.38671875,0.19109685719013214,0.6013022721745074
ga,1,25,136908.6875,17903.015625,0.22126799821853638,0.6053179400041699
ga,1,26,255279.3125,20852.744140625,0.12095355242490768,0.5996701982803643
ga,1,27,208737.28125,19975.65625,0.17850308120250702,0.6007382059469819
ga,1,28,185627.5,20102.17578125,0.21929053962230682,0.6013310798443854
ga,1,29,209438.625,19923.826171875,0.1893230676651001,0.5988866821862757
de,1,0,133527.1875,14815.21875,0.2057165950536728,0.5459405700676143
de,1,1,147194.234375,14670.81640625,0.23197801411151886,0.5466469801031053
de,1,2,136314.921875,14110.7763671875,0.21573491394519806,0.550544299185276
de,1,3,143952.375,14249.94140625,0.1892530769109726,0.5474810930900276
de,1,4,152525.65625,14367.5693359375,0.1950775384902954,0.5498417988419533
de,1,5,140562.8125,14534.876953125,0.18506057560443878,0.5514940028078854
de,1,6,154268.59375,13941.861328125,0.1937824785709381,0.5495115029625595
de,1,7,135593.59375,15200.4306640625,0.21693949401378632,0.5468285367824137
de,1,8,150771.171875,14652.615234375,0.1656755954027176,0.5466774781234562
de,1,9,146843.96875,13524.09375,0.20069772005081177,0.5503069590777159
de,1,10,127715.265625,13503.677734375,0.25401875376701355,0.5464795841835439
de,1,11,137875.09375,14281.2138671875,0.23515987396240234,0.5488284272141755
de,1,12,140394.65625,14316.5546875,0.22002258896827698,0.5475756479427218
de,1,13,162562.984375,13710.5009765625,0.18813233077526093,0.5507409079000354
de,1,14,138613.328125,14798.65625,0.20149777829647064,0.5491215856745839
de,1,15,151926.65625,14353.8134765625,0.18401211500167847,0.5484251002781093
de,1,16,155022.484375,13578.3212890625,0.1753605306148529,0.5505126309581101
de,1,17,132987.28125,14492.7197265625,0.20349788665771484,0.5491920537315309
de,1,18,151070.46875,14990.837890625,0.24984370172023773,0.5487901531159878
de,1,19,147783.03125,14695.89453125,0.24253202974796295,0.5542258969508111
de,1,20,159654.640625,14103.2236328125,0.13449698686599731,0.5486962860450149
de,1,21,159614.5625,13878.5966796875,0.18999186158180237,0.5491886641830206
de,1,22,138934.90625,14254.701171875,0.20365814864635468,0.5513728139922023
de,1,23,146671.1875,14854.8125,0.2264045625925064,0.5517324581742287
de,1,24,156067.796875,14721.958984375,0.18916858732700348,0.5509781995788217
de,1,25,126469.375,14579.0732421875,0.23418086767196655,0.5535421436652541
de,1,26,146557.359375,13859.48828125,0.12424490600824356,0.5513220229186118
de,1,27,156069.796875,14410.59765625,0.19479148089885712,0.5504601956345141
de,1,28,139568.890625,14997.431640625,0.2363695651292801,0.5479448842816055
de,1,29,151731.796875,14333.53515625,0.1978609561920166,0.5491271186619997
gwo,1,0,160219.5,17413.818359375,0.17852738499641418,0.5983302993699908
gwo,1,1,155598.34375,16671.39453125,0.21896244585514069,0.5996497641317546
gwo,1,2,142419.859375,17220.740234375,0.19651415944099426,0.602077511139214
gwo,1,3,168102.5625,18135.962890625,0.17552699148654938,0.5968667580746114
gwo,1,4,208935.6875,17258.1015625,0.20079460740089417,0.5979235889390111
gwo,1,5,202593.5625,18135.435546875,0.16976876556873322,0.5962505741044879
gwo,1,6,159412.34375,18477.634765625,0.19376924633979797,0.6000569402240217
gwo,1,7,171908.40625,17589.375,0.19959694147109985,0.6006407020613551
gwo,1,8,158376.8125,17657.46875,0.1474151313304901,0.5979990982450545
gwo,1,9,153562.9375,17692.4609375,0.19597917795181274,0.6006583282724023
gwo,1,10,215723.9375,19039.5703125,0.24081449210643768,0.5998147670179605
gwo,1,11,142941.90625,17104.58203125,0.22168727219104767,0.5994127243757248
gwo,1,12,144637.25,16821.19140625,0.20934735238552094,0.5999127742834389
gwo,1,13,166022.15625,15898.6484375,0.1812000572681427,0.5987575342878699
gwo,1,14,145181.34375,16874.99609375,0.1725301295518875,0.6006728699430823
gwo,1,15,156533.09375,17549.98828125,0.17698854207992554,0.5995346987619996
gwo,1,16,168050.5,17464.12109375,0.16577066481113434,0.6018330939114094
gwo,1,17,138786.78125,17045.484375,0.19293740391731262,0.6010588658973575
gwo,1,18,156118.21875,16230.666015625,0.23148499429225922,0.5980541249737144
gwo,1,19,154741.84375,16487.248046875,0.21659667789936066,0.5998876956291497
gwo,1,20,171280.671875,17904.587890625,0.1253800392150879,0.6004914818331599
gwo,1,21,164645.515625,17264.02734375,0.18580807745456696,0.5996056753210723
gwo,1,22,146207.984375,18020.384765625,0.1991746723651886,0.6009877449832857
gwo,1,23,157213.625,17601.01171875,0.19938229024410248,0.6016088789328933
gwo,1,24,162845.703125,17361.66796875,0.1765867918729782,0.6010156436823308
gwo,1,25,137465.46875,17974.640625,0.22232556343078613,0.5992370531894267
gwo,1,26,171019.734375,18272.65625,0.1006106585264206,0.5998541577719152
gwo,1,27,183659.0,16955.5859375,0.18822714686393738,0.5991608002223074
gwo,1,28,194962.59375,18712.810546875,0.20632879436016083,0.5986428679898381
gwo,1,29,359827.4375,18562.51171875,0.18450310826301575,0.5994299538433552
lshade,1,0,131085.296875,12741.421875,0.20817939937114716,1.7391098979860544
lshade,1,1,143491.15625,12951.0234375,0.24347198009490967,1.7074477290734649
lshade,1,2,137097.578125,12595.4130859375,0.20098698139190674,1.7137372423894703
lshade,1,3,143570.15625,12649.9560546875,0.18164098262786865,1.705867680720985
lshade,1,4,151298.1875,12612.95703125,0.1920064091682434,1.7002505948767066
lshade,1,5,137307.65625,12789.15625,0.1948210895061493,1.7056247857399285
lshade,1,6,153126.3125,12755.3994140625,0.1935286670923233,1.7140500480309129
lshade,1,7,133874.15625,12667.3388671875,0.21164736151695251,1.712060374673456
lshade,1,8,149028.40625,12862.90625,0.16538788378238678,1.7035479969345033
lshade,1,9,145988.015625,12668.224609375,0.20069822669029236,1.7058594510890543
lshade,1,10,127697.234375,12687.689453125,0.24880674481391907,1.6986615099012852
lshade,1,11,136438.03125,12844.1455078125,0.23515987396240234,1.6987059358507395
lshade,1,12,139797.90625,12701.50390625,0.21372301876544952,1.710379771888256
lshade,1,13,160557.953125,12690.90234375,0.19350719451904297,1.7117688739672303
lshade,1,14,137322.609375,12674.34375,0.19612175226211548,1.7008570618927479
lshade,1,15,149241.15625,12708.7578125,0.19018322229385376,1.7003897787071764
lshade,1,16,153303.203125,12643.013671875,0.17993119359016418,1.7000375492498279
lshade,1,17,131190.65625,12696.109375,0.20349788665771484,1.7069098558276892
lshade,1,18,152085.3125,12639.44140625,0.23128685355186462,1.7033484419807792
lshade,1,19,146742.046875,12864.22265625,0.23803183436393738,1.7119948831386864
lshade,1,20,159210.375,12710.0751953125,0.12885458767414093,1.7119516697712243
lshade,1,21,157711.765625,12721.216796875,0.19413502514362335,1.7039331928826869
lshade,1,22,138063.140625,12660.623046875,0.19904465973377228,1.7149193570949137
lshade,1,23,144525.0625,12798.544921875,0.22693192958831787,1.701932824216783
lshade,1,24,153521.421875,12819.1123046875,0.1928602010011673,1.7077382691204548
lshade,1,25,125013.34375,12693.0791015625,0.23123806715011597,1.7087329342029989
lshade,1,26,145351.75,12679.8369140625,0.12441632151603699,1.7130946908146143
lshade,1,27,154524.625,12714.587890625,0.19393415749073029,1.7158016399480402
lshade,1,28,135754.421875,12905.1884765625,0.2468857616186142,1.709360295906663
lshade,1,29,150275.15625,12648.626953125,0.19652825593948364,1.7148282518610358
cmaes,1,0,128484.578125,13033.625,0.22753551602363586,1.9391155540943146
cmaes,1,1,141421.15625,13645.126953125,0.2594909369945526,1.8542866557836533
cmaes,1,2,134171.40625,13526.9931640625,0.22574467957019806,1.8438273421488702
cmaes,1,3,139282.078125,14884.494140625,0.22241275012493134,1.848282908089459
cmaes,1,4,148641.796875,13017.625,0.20984041690826416,1.8478585672564805
cmaes,1,5,134560.0625,13466.28125,0.21696655452251434,1.845164390746504
cmaes,1,6,155182.8125,13041.109375,0.18335489928722382,1.8495600540190935
cmaes,1,7,132767.0625,13920.591796875,0.22699949145317078,1.8432702799327672
cmaes,1,8,150172.375,13131.5576171875,0.16002272069454193,1.8517351867631078
cmaes,1,9,143322.640625,13035.41015625,0.2188795655965805,1.8450487931258976
cmaes,1,10,126368.8359375,13142.9189453125,0.2604566812515259,1.8450591950677335
cmaes,1,11,137085.8125,13062.8671875,0.23250460624694824,1.8434285749681294
cmaes,1,12,135289.453125,13674.05859375,0.2476310431957245,1.8424875121563673
cmaes,1,13,161230.28125,13439.3505859375,0.1939222663640976,1.8467559246346354
cmaes,1,14,133866.5,14236.765625,0.22848717868328094,1.8382287067361176
cmaes,1,15,149230.15625,13662.5390625,0.19590580463409424,1.8429805408231914
cmaes,1,16,149045.8125,13557.17578125,0.21008196473121643,1.8402363951317966
cmaes,1,17,131390.984375,13939.767578125,0.21051102876663208,1.8396017621271312
cmaes,1,18,149596.15625,12998.07421875,0.24698562920093536,1.8411040920764208
cmaes,1,19,150866.65625,13761.712890625,0.21966466307640076,1.8421295387670398
cmaes,1,20,158378.875,13619.5595703125,0.13920709490776062,1.841857884079218
cmaes,1,21,153158.078125,14378.474609375,0.2286556512117386,1.8413205817341805
cmaes,1,22,137658.0625,13123.328125,0.2045871764421463,1.8446327159181237
cmaes,1,23,144060.9375,13755.390625,0.23527126014232635,1.8462352412752807
cmaes,1,24,153216.65625,13337.6708984375,0.19758333265781403,1.8474420998245478
cmaes,1,25,123281.3671875,12887.880859375,0.2444256991147995,1.8429935867898166
cmaes,1,26,143598.890625,13180.6298828125,0.1392894983291626,1.8404382020235062
cmaes,1,27,152413.34375,13332.3447265625,0.2094462811946869,1.8384388159029186
cmaes,1,28,140283.53125,13352.2958984375,0.22186148166656494,1.8320802729576826
cmaes,1,29,147311.9375,13579.173828125,0.2192603200674057,1.8354437150992453
qipso,2,0,1114374.875,43736.1953125,0.20371009409427643,0.6717925490811467
qipso,2,1,834685.0,43514.71875,0.24911130964756012,0.6689634332433343
qipso,2,2,903914.9375,44090.625,0.25651219487190247,0.6679079979658127
qipso,2,3,747977.125,42048.12890625,0.17477776110172272,0.6729655382223427
qipso,2,4,796127.0,42001.71875,0.21719646453857422,0.6671845130622387
qipso,2,5,787942.25,44657.515625,0.18388999998569489,0.6683624424040318
qipso,2,6,881415.5,44262.08203125,0.20780479907989502,0.6727341562509537
qipso,2,7,1353095.375,44988.83203125,0.19878292083740234,0.6725980630144477
qipso,2,8,805176.625,40968.43359375,0.21263322234153748,0.6682932898402214
qipso,2,9,699786.5,40748.6171875,0.25551000237464905,0.6689768899232149
qipso,2,10,721013.5,43179.3828125,0.26667502522468567,0.6711988351307809
qipso,2,11,1072140.5,44677.6015625,0.25558915734291077,0.6685499693267047
qipso,2,12,983818.375,42394.31640625,0.23677189648151398,0.670010098721832
qipso,2,13,1119396.0,43981.23046875,0.20769573748111725,0.6708657490089536
qipso,2,14,909173.625,42042.140625,0.20949354767799377,0.6692819870077074
qipso,2,15,991285.5,41844.0078125,0.2183966189622879,0.6731089777313173
qipso,2,16,876642.5,42277.2890625,0.18025602400302887,0.6741754817776382
qipso,2,17,1040390.5,44543.6640625,0.20487608015537262,0.667314943857491
qipso,2,18,857308.125,43070.828125,0.2191256731748581,0.6745137330144644
qipso,2,19,866118.0,42053.80078125,0.21256238222122192,0.6714085461571813
qipso,2,20,936040.9375,42417.08203125,0.1708310842514038,0.6718240072950721
qipso,2,21,756234.8125,41558.7421875,0.20461484789848328,0.6718473341315985
qipso,2,22,693206.75,41810.5078125,0.2542809545993805,0.6752719231881201
qipso,2,23,774014.625,41539.6796875,0.23148824274539948,0.6727361581288278
qipso,2,24,990530.6875,40995.1484375,0.22940829396247864,0.6741119772195816
qipso,2,25,900432.0625,43025.15625,0.21866831183433533,0.6744532533921301
qipso,2,26,1076358.5,42736.2890625,0.1514948457479477,0.6716436319984496
qipso,2,27,946408.375,44468.8203125,0.25446388125419617,0.67061733501032
qipso,2,28,877761.25,43678.2890625,0.21063925325870514,0.6711719110608101
qipso,2,29,841596.25,42668.6796875,0.2541138529777527,0.6740027330815792
qipsode,2,0,1134345.375,36375.48828125,0.17829446494579315,0.7540729399770498
qipsode,2,1,1485691.125,38060.7421875,0.26502925157546997,0.7524027680046856
qipsode,2,2,1168551.75,37581.453125,0.2544490396976471,0.7544197072274983
qipsode,2,3,1300427.375,36821.20703125,0.17666491866111755,0.7534021646715701
qipsode,2,4,1281049.625,36343.828125,0.20472683012485504,0.7565318620763719
qipsode,2,5,1273813.625,36163.58984375,0.1690063327550888,0.7523047109134495
qipsode,2,6,1377255.625,34972.46875,0.1968623697757721,0.7496114200912416
qipsode,2,7,1073288.75,36479.4375,0.20024068653583527,0.7525195851922035
qipsode,2,8,962722.5625,36477.46484375,0.2132895141839981,0.7538329903036356
qipsode,2,9,1283735.25,35307.58203125,0.25437548756599426,0.7553388588130474
qipsode,2,10,1136115.375,36265.03125,0.26058703660964966,0.7550609619356692
qipsode,2,11,1205569.625,34130.828125,0.2515406310558319,0.7534531210549176
qipsode,2,12,1205808.625,37603.9921875,0.22737017273902893,0.7531350250355899
qipsode,2,13,1095263.75,37304.62109375,0.21863092482089996,0.7496085651218891
qipsode,2,14,1210485.125,35967.63671875,0.19172072410583496,0.7487589181400836
qipsode,2,15,948334.8125,37701.0625,0.2118646502494812,0.7510423823259771
qipsode,2,16,1304146.375,36412.421875,0.17693206667900085,0.7538920291699469
qipsode,2,17,1121923.875,36288.671875,0.20349788665771484,0.753936804831028
qipsode,2,18,1094703.125,36238.76953125,0.21957148611545563,0.7561780549585819
qipsode,2,19,1054951.875,37040.9921875,0.2160138040781021,0.7561204857192934
qipsode,2,20,1242223.875,36080.1171875,0.14385762810707092,0.7554947729222476
qipsode,2,21,1243813.25,39073.2890625,0.2040833979845047,0.7583668706938624
qipsode,2,22,984392.1875,36292.015625,0.25598835945129395,0.7567676366306841
qipsode,2,23,1158622.25,36373.1875,0.22712579369544983,0.7557094846852124
qipsode,2,24,1058714.5,34605.5703125,0.2271140068769455,0.7535480209626257
qipsode,2,25,1355975.875,35551.03125,0.23401422798633575,0.7522719232365489
qipsode,2,26,1184018.75,35429.328125,0.1394692361354828,0.7532635061070323
qipsode,2,27,1223111.375,38057.99609375,0.2627865970134735,0.7520077219232917
qipsode,2,28,1166585.0,37255.875,0.22279231250286102,0.7486200123094022
qipsode,2,29,1080513.875,36373.78125,0.24993976950645447,0.7531432150863111
pso,2,0,923475.0,43155.1953125,0.1887497454881668,0.597076949197799
pso,2,1,1072450.25,42071.3984375,0.22899414598941803,0.5946138030849397
pso,2,2,826295.4375,40398.12109375,0.2572428286075592,0.5974193504080176
pso,2,3,877529.5625,43917.0078125,0.1659902185201645,0.598091087769717
pso,2,4,938594.25,42775.80859375,0.20821654796600342,0.5967408521100879
pso,2,5,898717.25,41841.83203125,0.1945401430130005,0.5952368788421154
pso,2,6,1324364.875,41185.01171875,0.2058941125869751,0.5947334542870522
pso,2,7,2013195.5,44010.24609375,0.18826337158679962,0.5929236500523984
pso,2,8,682152.5625,42101.94140625,0.2039324790239334,0.5966896610334516
pso,2,9,795256.5,40676.0703125,0.2639659345149994,0.5973712000995874
pso,2,10,966932.75,42111.59375,0.27112019062042236,0.5956744910217822
pso,2,11,1672611.75,45972.25,0.24774503707885742,0.5969841610640287
pso,2,12,986089.5625,41758.859375,0.2289608269929886,0.6012364290654659
pso,2,13,1474970.5,44292.54296875,0.21839547157287598,0.5986861269921064
pso,2,14,1304456.75,43411.6796875,0.20255209505558014,0.5987930982373655
pso,2,15,1593977.5,43681.6953125,0.21505612134933472,0.5951883140951395
pso,2,16,1134119.125,40543.078125,0.17584627866744995,0.6020418326370418
pso,2,17,1085895.25,42235.75,0.19774186611175537,0.6011217683553696
pso,2,18,910603.75,41938.1171875,0.22983767092227936,0.5970415729098022
pso,2,19,1150759.5,42686.00390625,0.20819273591041565,0.5966306338086724
pso,2,20,879753.125,41968.453125,0.1484299898147583,0.598859841004014
pso,2,21,1168880.5,43173.7734375,0.20421813428401947,0.5994173320941627
pso,2,22,809609.75,42650.6953125,0.2594684064388275,0.5978372818790376
pso,2,23,1067396.25,43612.546875,0.22680921852588654,0.6000487296842039
pso,2,24,1188693.375,41844.69921875,0.23136839270591736,0.5981162209063768
pso,2,25,956840.8125,42340.390625,0.23445887863636017,0.5956812696531415
pso,2,26,2350591.5,45395.9375,0.14429424703121185,0.5978921810165048
pso,2,27,1236641.125,42874.46875,0.25116217136383057,0.5914748096838593
pso,2,28,1085617.5,43776.43359375,0.2217145562171936,0.5992052550427616
pso,2,29,882324.0,42264.453125,0.253670334815979,0.5992139969021082
ga,2,0,2374948.75,48413.484375,0.19730901718139648,0.6986604328267276
ga,2,1,2325374.0,47137.36328125,0.22762103378772736,0.6961487689986825
ga,2,2,1928181.5,45929.6953125,0.2613169848918915,0.6974564543925226
ga,2,3,2039204.5,45993.53515625,0.1643291562795639,0.6979393158107996
ga,2,4,2400707.5,47522.9609375,0.20934776961803436,0.6983445202931762
ga,2,5,2244214.0,46738.7578125,0.18927766382694244,0.6982436887919903
ga,2,6,2603912.75,46457.1171875,0.21238423883914948,0.7005683593451977
ga,2,7,1840141.875,46795.8125,0.20896214246749878,0.6958538629114628
ga,2,8,1903423.5,43958.54296875,0.20395994186401367,0.6967818927951157
ga,2,9,2349872.75,49756.1015625,0.2591831684112549,0.6984253963455558
ga,2,10,1965469.25,46437.3359375,0.2728102207183838,0.6961411759257317
ga,2,11,1885728.5,46583.25,0.24249619245529175,0.6963136503472924
ga,2,12,1985798.75,45733.15234375,0.24196715652942657,0.6973455687984824
ga,2,13,2407468.25,48293.984375,0.2055048942565918,0.6971873831935227
ga,2,14,1666320.25,45891.43359375,0.20508481562137604,0.6949602500535548
ga,2,15,2444847.75,48259.50390625,0.20648403465747833,0.6972994860261679
ga,2,16,2236505.25,46980.3984375,0.17232733964920044,0.6955907982774079
ga,2,17,2407933.5,47446.109375,0.2006969451904297,0.6956747318618
ga,2,18,1833398.75,43091.7265625,0.21317660808563232,0.696968958247453
ga,2,19,2011465.125,47461.25,0.21723003685474396,0.6957154250703752
ga,2,20,2243641.0,44770.6484375,0.14652951061725616,0.6941003957763314
ga,2,21,2076560.125,46226.19921875,0.20420923829078674,0.6944736512377858
ga,2,22,1913628.125,45365.9921875,0.25689825415611267,0.694723472930491
ga,2,23,2573657.75,47740.07421875,0.23684656620025635,0.6953514427877963
ga,2,24,2006029.5,47739.2734375,0.22576569020748138,0.6930093439295888
ga,2,25,2040446.5,44376.7109375,0.23441964387893677,0.6927203279919922
ga,2,26,2397452.5,46626.0859375,0.13908623158931732,0.6948926891200244
ga,2,27,2469725.75,48403.5546875,0.2524296045303345,0.6952145472168922
ga,2,28,2046408.0,45384.3359375,0.2102685570716858,0.692124089691788
ga,2,29,2196469.0,46237.2890625,0.26023247838020325,0.6856754217296839
de,2,0,1420886.75,36395.953125,0.19244647026062012,0.6408019135706127
de,2,1,1286239.75,34698.15625,0.24207764863967896,0.6416156990453601
