variant,seed,best_cost,energy_j,completion,wall_time_s
no_rotation,8,55909.546875,14700.9189453125,0.3316877484321594,0.49048983212560415
no_rotation,9,51762.62109375,14565.1689453125,0.33886098861694336,0.4897398790344596
no_rotation,10,44830.40625,15164.1484375,0.5113333463668823,0.49028025195002556
no_rotation,11,56601.90625,14307.416015625,0.19823729991912842,0.49027974903583527
no_rotation,12,53662.08203125,14007.98046875,0.3532612919807434,0.4896182492375374
no_rotation,13,68684.9765625,14782.939453125,0.11917916685342789,0.4906919999048114
no_rotation,14,54966.15234375,15026.09375,0.35346800088882446,0.4905902468599379
no_rotation,15,53634.59765625,14027.5859375,0.22617530822753906,0.49138836190104485
no_rotation,16,51569.484375,13909.294921875,0.27572348713874817,0.4906629133038223
no_rotation,17,47523.171875,14091.7294921875,0.39373236894607544,0.4895657659508288
no_rotation,18,51192.00390625,14104.9697265625,0.307453989982605,0.48823804315179586
no_rotation,19,40836.6484375,15133.23828125,0.4362836480140686,0.4902867889031768
no_rotation,20,59100.5,16029.533203125,0.2261791229248047,0.49057023180648685
no_rotation,21,55612.2421875,14494.1767578125,0.35164910554885864,0.4913989119231701
no_rotation,22,48081.73046875,13454.82421875,0.27581310272216797,0.4910777360200882
no_rotation,23,49554.578125,14479.6640625,0.3305123448371887,0.4900051490403712
no_rotation,24,51425.4609375,16241.435546875,0.3311287462711334,0.48845782969146967
no_rotation,25,50538.84375,13954.587890625,0.2914721369743347,0.49223106913268566
no_rotation,26,56177.39453125,14778.3359375,0.21455487608909607,0.49009555066004395
no_rotation,27,48262.546875,14212.2236328125,0.3293817341327667,0.49135712068527937
no_rotation,28,42074.9609375,16280.880859375,0.46952730417251587,0.49012300185859203
no_rotation,29,49754.625,15397.89453125,0.3094285726547241,0.4901916915550828
no_qinit,0,50768.421875,15259.517578125,0.31881770491600037,0.5648093493655324
no_qinit,1,57849.046875,14526.935546875,0.258894145488739,0.5655013122595847
no_qinit,2,57884.48046875,14834.427734375,0.339983195066452,0.562747239600867
no_qinit,3,52520.28515625,14282.5234375,0.34739425778388977,0.564515913836658
no_qinit,4,52411.203125,14852.7705078125,0.40424802899360657,0.5604843790642917
no_qinit,5,59103.4609375,14168.9130859375,0.2947593331336975,0.5630945130251348
no_qinit,6,51953.55859375,15181.9482421875,0.3829099237918854,0.5621644672937691
no_qinit,7,50414.08984375,15811.6708984375,0.4001941680908203,0.5603110189549625
no_qinit,8,55487.03515625,14914.361328125,0.34153279662132263,0.56258638901636
no_qinit,9,53292.52734375,16070.900390625,0.33886098861694336,0.5641117971390486
no_qinit,10,44723.109375,15832.0146484375,0.5244804620742798,0.5639747497625649
no_qinit,11,56289.90625,13995.416015625,0.19823729991912842,0.561205938924104
no_qinit,12,54284.625,14611.380859375,0.3529491424560547,0.5640922859311104
no_qinit,13,68906.546875,14429.552734375,0.10978370904922485,0.5657067261636257
no_qinit,14,55709.359375,15160.9970703125,0.34362107515335083,0.5648643230088055
no_qinit,15,53100.9921875,14198.689453125,0.2399437427520752,0.5661017028614879
no_qinit,16,50069.171875,14562.578125,0.3171410858631134,0.5654873889870942
no_qinit,17,49580.92578125,16139.2578125,0.3935469388961792,0.5652857730165124
no_qinit,18,54006.3984375,15211.783203125,0.2760320007801056,0.5635849768295884
no_qinit,19,40603.84375,15476.310546875,0.4489136040210724,0.5646861628629267
no_qinit,20,60281.6015625,17143.00390625,0.2249639928340912,0.5645138802938163
no_qinit,21,56644.0234375,15533.4580078125,0.3517674207687378,0.5640450972132385
no_qinit,22,48856.73046875,14229.8251953125,0.27581310272216797,0.5630067996680737
no_qinit,23,50739.33984375,14416.06640625,0.30668455362319946,0.5657048313878477
no_qinit,24,48560.6953125,16132.9169921875,0.38352686166763306,0.5640989053063095
no_qinit,25,52115.0234375,15343.6162109375,0.28784772753715515,0.5634588268585503
no_qinit,26,58150.375,16433.431640625,0.20852388441562653,0.563904772978276
no_qinit,27,49125.9921875,15273.474609375,0.33327752351760864,0.564420219976455
no_qinit,28,39848.0,15090.119140625,0.49083754420280457,0.5655712792649865
no_qinit,29,52299.6875,17136.98046875,0.2937255799770355,0.5655518127605319
neither,0,50215.55859375,14132.6826171875,0.3078068792819977,0.5124560026451945
neither,1,58513.796875,15191.6865234375,0.258894145488739,0.497185958083719
neither,2,56691.1875,14257.9267578125,0.34943944215774536,0.49085098318755627
neither,3,52731.203125,14856.2919921875,0.35358715057373047,0.49254406383261085
neither,4,53367.1328125,14303.9423828125,0.3803795874118805,0.4847454586997628
neither,5,59068.4453125,13924.3828125,0.2914709746837616,0.4885901832021773
neither,6,50243.78125,13477.029296875,0.3829099237918854,0.4898345139808953
neither,7,50656.234375,15517.958984375,0.3909054696559906,0.49234979692846537
neither,8,55909.546875,14700.9189453125,0.3316877484321594,0.4918651208281517
neither,9,51762.62109375,14565.1689453125,0.33886098861694336,0.491925654001534
neither,10,44830.40625,15164.1484375,0.5113333463668823,0.4893949618563056
neither,11,56601.90625,14307.416015625,0.19823729991912842,0.491251474712044
neither,12,53662.08203125,14007.98046875,0.3532612919807434,0.4896809421479702
neither,13,68684.9765625,14782.939453125,0.11917916685342789,0.49099400267004967
neither,14,54966.15234375,15026.09375,0.35346800088882446,0.4893836402334273
neither,15,53634.59765625,14027.5859375,0.22617530822753906,0.49250573804602027
neither,16,51569.484375,13909.294921875,0.27572348713874817,0.49217719677835703
neither,17,47523.171875,14091.7294921875,0.39373236894607544,0.4922365890815854
neither,18,51192.00390625,14104.9697265625,0.307453989982605,0.4903695466928184
neither,19,40836.6484375,15133.23828125,0.4362836480140686,0.4897502907551825
neither,20,59100.5,16029.533203125,0.2261791229248047,0.4855579319410026
neither,21,55612.2421875,14494.1767578125,0.35164910554885864,0.48844463797286153
neither,22,48081.73046875,13454.82421875,0.27581310272216797,0.48507925774902105
neither,23,49554.578125,14479.6640625,0.3305123448371887,0.48631024779751897
neither,24,51425.4609375,16241.435546875,0.3311287462711334,0.48559462185949087
neither,25,50538.84375,13954.587890625,0.2914721369743347,0.4893476590514183
neither,26,56177.39453125,14778.3359375,0.21455487608909607,0.4880934590473771
neither,27,48262.546875,14212.2236328125,0.3293817341327667,0.5000298973172903
neither,28,42074.9609375,16280.880859375,0.46952730417251587,0.4943950129672885
neither,29,49754.625,15397.89453125,0.3094285726547241,0.5058462591841817
