alg,seed,best_cost,energy_j,completion,wall_time_s,iterations,K
qipso,24,30024.75,15113.0576171875,0.4442919194698334,0.5759010347537696,300,10
qipso,25,31871.4296875,16045.9091796875,0.40212252736091614,0.5780018167570233,300,10
qipso,26,41416.57421875,16368.23046875,0.1009482741355896,0.5750895938836038,300,10
qipso,27,29701.451171875,14471.5078125,0.41683343052864075,0.57406748784706,300,10
qipso,28,25488.60546875,14648.8935546875,0.5748552680015564,0.5753385061398149,300,10
qipso,29,35796.3125,15329.1455078125,0.2851001024246216,0.575168174225837,300,10
pso,0,29276.923828125,13538.970703125,0.46187055110931396,0.4987166761420667,300,10
pso,1,28238.6875,14571.458984375,0.45552849769592285,0.49646257190033793,300,10
pso,2,30470.564453125,13727.6328125,0.2784233093261719,0.49786058394238353,300,10
pso,3,25635.76171875,13960.9296875,0.4147091209888458,0.497460778336972,300,10
pso,4,29045.24609375,13938.541015625,0.5336116552352905,0.49729261407628655,300,10
pso,5,34310.75,14374.591796875,0.2354763299226761,0.49929179111495614,300,10
pso,6,27537.8203125,13185.9765625,0.41504165530204773,0.4987021111883223,300,10
pso,7,37162.0546875,14903.6015625,0.32795923948287964,0.4970214692875743,300,10
pso,8,30348.130859375,13554.265625,0.29531538486480713,0.4984648209065199,300,10
pso,9,33067.08203125,14370.0390625,0.48451218008995056,0.4955878537148237,300,10
pso,10,16710.951171875,14683.076171875,0.8334046602249146,0.49614470498636365,300,10
pso,11,34682.16015625,14173.998046875,0.3286825716495514,0.49861564999446273,300,10
pso,12,26517.26953125,14706.2177734375,0.5542199611663818,0.4961037300527096,300,10
pso,13,41112.7578125,15088.84765625,0.15937407314777374,0.49622248904779553,300,10
pso,14,29199.796875,14923.458984375,0.5101820826530457,0.49587424006313086,300,10
pso,15,28302.5390625,13648.234375,0.42286592721939087,0.4980365219525993,300,10
pso,16,28733.158203125,14788.3662109375,0.439761757850647,0.4957939609885216,300,10
pso,17,24192.125,15679.0673828125,0.5662226676940918,0.49708355590701103,300,10
pso,18,31084.70703125,14609.3681640625,0.4485251307487488,0.4978075618855655,300,10
pso,19,23805.712890625,16371.2705078125,0.6979894042015076,0.4980650548823178,300,10
pso,20,36479.10546875,14373.97265625,0.2632346749305725,0.49789949832484126,300,10
pso,21,31642.03515625,14333.861328125,0.35291334986686707,0.4988169437274337,300,10
pso,22,29302.953125,13812.0205078125,0.44688162207603455,0.49890045495703816,300,10
pso,23,31776.26171875,15459.615234375,0.39241334795951843,0.49667912209406495,300,10
pso,24,30326.9921875,14963.345703125,0.427449107170105,0.49712116084992886,300,10
pso,25,31265.71484375,15440.193359375,0.40212252736091614,0.49714156007394195,300,10
pso,26,39081.4921875,14033.146484375,0.1009482741355896,0.4985644309781492,300,10
pso,27,28994.166015625,13764.2236328125,0.41683343052864075,0.4988299300894141,300,10
pso,28,25552.58203125,15288.75390625,0.5974419713020325,0.4973223586566746,300,10
pso,29,35251.328125,14533.82421875,0.2763560712337494,0.49661281798034906,300,10
ga,0,81645.3671875,19351.630859375,0.46187055110931396,0.6734697301872075,300,10
ga,1,67309.0625,19662.73828125,0.3411145508289337,0.5955048082396388,300,10
ga,2,52929.203125,18326.244140625,0.2784233093261719,0.595573125872761,300,10
ga,3,74108.3203125,19411.87109375,0.37042543292045593,0.5953840319998562,300,10
ga,4,43167.4453125,17860.16015625,0.5336116552352905,0.5949196899309754,300,10
ga,5,66760.1640625,19141.84375,0.2354763299226761,0.5956325088627636,300,10
ga,6,82162.1484375,19656.275390625,0.41504165530204773,0.5963914729654789,300,10
ga,7,76016.796875,18728.89453125,0.30635228753089905,0.5954964319244027,300,10
ga,8,64213.0,19497.171875,0.2955501675605774,0.5971711329184473,300,10
ga,9,117630.3125,20547.52734375,0.45092806220054626,0.5964900618419051,300,10
ga,10,59228.328125,18597.572265625,0.8334046602249146,0.5966314165852964,300,10
ga,11,102651.9140625,20005.673828125,0.3286825716495514,0.5973868509754539,300,10
ga,12,58628.57421875,19140.04296875,0.5329914093017578,0.5975071638822556,300,10
ga,13,67849.25,18876.849609375,0.11920248717069626,0.5968963471241295,300,10
ga,14,61704.06640625,19249.91796875,0.476667195558548,0.5956946532242,300,10
ga,15,56913.296875,18813.416015625,0.42286592721939087,0.5976715995930135,300,10
ga,16,59716.05078125,19345.021484375,0.3474259376525879,0.5986625207588077,300,10
ga,17,64356.04296875,20206.708984375,0.5345903038978577,0.5975451562553644,300,10
ga,18,66488.15625,19598.126953125,0.4226180911064148,0.596501771826297,300,10
ga,19,66840.84375,18892.5703125,0.6040787100791931,0.5960515229962766,300,10
ga,20,48500.23828125,19024.197265625,0.2632346749305725,0.5964378258213401,300,10
ga,21,55433.5390625,19775.23828125,0.3480246663093567,0.5967660280875862,300,10
ga,22,74469.3203125,20024.9765625,0.44688162207603455,0.5951016852632165,300,10
ga,23,58358.04296875,18745.609375,0.39241334795951843,0.5952473981305957,300,10
ga,24,55811.171875,18268.05859375,0.2796854078769684,0.5950047331862152,300,10
ga,25,62841.63671875,19574.677734375,0.40212252736091614,0.5962133733555675,300,10
ga,26,58352.984375,19011.748046875,0.1009482741355896,0.5961382379755378,300,10
ga,27,59868.15625,18957.40625,0.41683343052864075,0.5940250460989773,300,10
ga,28,91556.5,18942.837890625,0.5133010745048523,0.5962589499540627,300,10
ga,29,69596.2265625,19032.76171875,0.25733423233032227,0.5970876356586814,300,10
de,0,29009.041015625,13271.087890625,0.46187055110931396,0.5453794980421662,300,10
de,1,28452.953125,14223.8349609375,0.43314409255981445,0.5420883111655712,300,10
de,2,29916.72265625,13173.791015625,0.2784233093261719,0.5416668308898807,300,10
de,3,25368.390625,13693.5595703125,0.4147091209888458,0.5377414110116661,300,10
de,4,28421.70703125,13315.0009765625,0.5336116552352905,0.5438331947661936,300,10
de,5,33707.765625,13771.6083984375,0.2354763299226761,0.5434053200297058,300,10
de,6,27729.533203125,13377.689453125,0.41504165530204773,0.5419559981673956,300,10
de,7,36570.17578125,13596.0869140625,0.30635228753089905,0.5414663041010499,300,10
de,8,31251.14453125,13871.5146484375,0.2707362771034241,0.5402174801565707,300,10
de,9,31915.9921875,13926.9892578125,0.5040332078933716,0.5436869529075921,300,10
de,10,15353.5361328125,13325.662109375,0.8334046602249146,0.5429916679859161,300,10
de,11,33963.28125,13455.1201171875,0.3286825716495514,0.5406983881257474,300,10
de,12,25806.23828125,13439.6328125,0.5332518815994263,0.5405032718554139,300,10
de,13,40406.15625,13718.484375,0.13793322443962097,0.5424993298947811,300,10
de,14,28494.57421875,13847.5146484375,0.4974627196788788,0.5440423437394202,300,10
de,15,28406.9375,13752.6328125,0.42286592721939087,0.5422101309522986,300,10
de,16,29565.314453125,13391.208984375,0.35019806027412415,0.544142649974674,300,10
de,17,22006.3671875,13493.310546875,0.5662226676940918,0.5443232352845371,300,10
de,18,29901.947265625,14432.623046875,0.48219916224479675,0.5453579542227089,300,10
de,19,22189.08203125,13628.1845703125,0.6512538194656372,0.5412243674509227,300,10
de,20,35389.41015625,13284.27734375,0.2632346749305725,0.5443433988839388,300,10
de,21,31021.18359375,13599.4130859375,0.3486664593219757,0.5414868579246104,300,10
de,22,28860.107421875,13369.17578125,0.44688162207603455,0.5439483970403671,300,10
de,23,29205.373046875,13639.322265625,0.4203634560108185,0.5420176810584962,300,10
de,24,30798.40625,14766.7529296875,0.40255483984947205,0.5425346493721008,300,10
de,25,28888.49609375,13062.9765625,0.40212252736091614,0.5454857759177685,300,10
de,26,38587.8828125,13539.537109375,0.1009482741355896,0.5392097779549658,300,10
de,27,28511.72265625,13281.7783203125,0.41683343052864075,0.541045525111258,300,10
de,28,25236.998046875,13607.7666015625,0.5438894629478455,0.5418287510983646,300,10
de,29,34209.640625,13742.47265625,0.2851001024246216,0.5403420343063772,300,10
greedy,0,2195476.0,40386.28515625,0.9052135944366455,0.10556411277502775,1,10
greedy,1,22237108.0,84451.078125,0.901012122631073,0.011134036350995302,1,10
greedy,2,9022808.0,58619.984375,1.0,0.011022008955478668,1,10
greedy,3,24633486.0,89216.40625,0.8799399137496948,0.011055444832891226,1,10
greedy,4,820672.4375,35481.328125,0.9980773329734802,0.011450194753706455,1,10
greedy,5,16850356.0,74195.21875,0.822253942489624,0.01139451190829277,1,10
greedy,6,7132148.0,54307.21875,0.9557009339332581,0.01112870592623949,1,10
greedy,7,18978364.0,79060.59375,0.9792764782905579,0.01074302801862359,1,10
greedy,8,40812076.0,117325.234375,1.0,0.011266571003943682,1,10
greedy,9,30455710.0,99488.3046875,0.9785467386245728,0.011255365330725908,1,10
greedy,10,3352931.75,43849.609375,1.0,0.011349288746714592,1,10
greedy,11,41807456.0,119469.796875,0.9987918734550476,0.011177556123584509,1,10
greedy,12,14098244.0,68592.6328125,0.968620240688324,0.011123851407319307,1,10
greedy,13,46460804.0,127336.3203125,0.8023922443389893,0.011001608334481716,1,10
greedy,14,40983508.0,118199.90625,0.8813840746879578,0.011270408984273672,1,10
greedy,15,6165512.5,51855.26171875,0.9711030721664429,0.011042192112654448,1,10
greedy,16,79615672.0,183579.671875,0.8747139573097229,0.010721798054873943,1,10
greedy,17,53893416.0,140229.9375,0.9553222060203552,0.010827026329934597,1,10
greedy,18,42101688.0,120288.546875,0.8739233016967773,0.010882435832172632,1,10
greedy,19,43959252.0,122978.359375,0.8862085938453674,0.010875631123781204,1,10
greedy,20,79911000.0,184225.765625,0.8934403657913208,0.010966590140014887,1,10
greedy,21,9555913.0,60088.671875,0.7233278155326843,0.01100456714630127,1,10
greedy,22,17565888.0,75688.171875,0.9235696792602539,0.01109657483175397,1,10
greedy,23,23770578.0,87283.140625,0.848656952381134,0.01119191199541092,1,10
greedy,24,27866618.0,94556.5546875,0.7743514776229858,0.0111356470733881,1,10
greedy,25,110567504.0,236849.0,1.0,0.011263763066381216,1,10
greedy,26,55324164.0,142964.09375,0.9092918038368225,0.011189237236976624,1,10
greedy,27,22596606.0,85135.609375,1.0,0.010899433866143227,1,10
greedy,28,45872892.0,126705.140625,0.936002254486084,0.010950891766697168,1,10
greedy,29,14636840.0,70641.1328125,0.942948043346405,0.01096753915771842,1,10
straight,0,28256.60546875,12518.6533203125,0.46187055110931396,0.007509613409638405,1,10
straight,1,29087.953125,12518.6533203125,0.3399164378643036,0.007555983029305935,1,10
straight,2,29807.76171875,12518.6533203125,0.2548845708370209,0.0075663249008357525,1,10
straight,3,24193.484375,12518.6533203125,0.4147091209888458,0.0074494159780442715,1,10
straight,4,27625.359375,12518.6533203125,0.5336116552352905,0.00760326674208045,1,10
straight,5,32454.80859375,12518.6533203125,0.2354763299226761,0.007545056287199259,1,10
straight,6,26870.49609375,12518.6533203125,0.41504165530204773,0.007504598703235388,1,10
straight,7,35492.7421875,12518.6533203125,0.30635228753089905,0.007647973019629717,1,10
straight,8,31059.21484375,12518.6533203125,0.2220226526260376,0.007594631984829903,1,10
straight,9,31819.9296875,12518.6533203125,0.4678530991077423,0.007563991937786341,1,10
straight,10,15200.9912109375,12518.6533203125,0.7796387076377869,0.007511078845709562,1,10
straight,11,33026.81640625,12518.6533203125,0.3286825716495514,0.00750709930434823,1,10
straight,12,25517.755859375,12518.6533203125,0.5093798041343689,0.007426982745528221,1,10
straight,13,39779.08203125,12518.6533203125,0.11943195015192032,0.007489506620913744,1,10
straight,14,28368.65234375,12518.6533203125,0.4561900496482849,0.007569036912173033,1,10
straight,15,27172.95703125,12518.6533203125,0.42286592721939087,0.007587627973407507,1,10
straight,16,29500.3515625,12518.6533203125,0.3177526891231537,0.007540509104728699,1,10
straight,17,21652.5078125,12518.6533203125,0.5345903038978577,0.007636156864464283,1,10
straight,18,29779.17578125,12518.6533203125,0.4222428500652313,0.007458805106580257,1,10
straight,19,22237.5859375,12518.6533203125,0.6040787100791931,0.00758082140237093,1,10
straight,20,34623.78515625,12518.6533203125,0.2632346749305725,0.007595060858875513,1,10
straight,21,29964.171875,12518.6533203125,0.3477786183357239,0.007499179802834988,1,10
straight,22,28009.5859375,12518.6533203125,0.44688162207603455,0.007583064027130604,1,10
straight,23,28835.30078125,12518.6533203125,0.39241334795951843,0.007632094901055098,1,10
straight,24,30479.26171875,12518.6533203125,0.330669105052948,0.007633772678673267,1,10
straight,25,28344.173828125,12518.6533203125,0.40212252736091614,0.007581254933029413,1,10
straight,26,37566.99609375,12518.6533203125,0.1009482741355896,0.00739125395193696,1,10
straight,27,27748.59765625,12518.6533203125,0.41683343052864075,0.007611298933625221,1,10
straight,28,24145.16796875,12518.6533203125,0.5439961552619934,0.007465226575732231,1,10
straight,29,33855.3046875,12518.6533203125,0.25472983717918396,0.007580374833196402,1,10
qipso,0,50768.421875,15259.517578125,0.31881770491600037,0.5745983296073973,300,20
qipso,1,57849.046875,14526.935546875,0.258894145488739,0.5784832509234548,300,20
qipso,2,57884.48046875,14834.427734375,0.339983195066452,0.574939995072782,300,20
qipso,3,52520.28515625,14282.5234375,0.34739425778388977,0.5760405128821731,300,20
qipso,4,52411.203125,14852.7705078125,0.40424802899360657,0.5750969159416854,300,20
qipso,5,59103.4609375,14168.9130859375,0.2947593331336975,0.5769966668449342,300,20
qipso,6,51953.55859375,15181.9482421875,0.3829099237918854,0.5777315250597894,300,20
qipso,7,50414.08984375,15811.6708984375,0.4001941680908203,0.5753621570765972,300,20
qipso,8,55487.03515625,14914.361328125,0.34153279662132263,0.5744961900636554,300,20
qipso,9,53292.52734375,16070.900390625,0.33886098861694336,0.5751733970828354,300,20
qipso,10,44723.109375,15832.0146484375,0.5244804620742798,0.5755185498856008,300,20
qipso,11,56289.90625,13995.416015625,0.19823729991912842,0.575316172093153,300,20
qipso,12,54284.625,14611.380859375,0.3529491424560547,0.5735482750460505,300,20
qipso,13,68906.546875,14429.552734375,0.10978370904922485,0.5756462393328547,300,20
qipso,14,55709.359375,15160.9970703125,0.34362107515335083,0.5750545081682503,300,20
qipso,15,53100.9921875,14198.689453125,0.2399437427520752,0.5740525820292532,300,20
qipso,16,50069.171875,14562.578125,0.3171410858631134,0.5755154420621693,300,20
qipso,17,49580.92578125,16139.2578125,0.3935469388961792,0.5752304000779986,300,20
qipso,18,54006.3984375,15211.783203125,0.2760320007801056,0.5796900680288672,300,20
qipso,19,40603.84375,15476.310546875,0.4489136040210724,0.5817231861874461,300,20
qipso,20,60281.6015625,17143.00390625,0.2249639928340912,0.5803358969278634,300,20
qipso,21,56644.0234375,15533.4580078125,0.3517674207687378,0.5788958850316703,300,20
qipso,22,48856.73046875,14229.8251953125,0.27581310272216797,0.5779080810025334,300,20
qipso,23,50739.33984375,14416.06640625,0.30668455362319946,0.5815499080345035,300,20
qipso,24,48560.6953125,16132.9169921875,0.38352686166763306,0.577294419053942,300,20
qipso,25,52115.0234375,15343.6162109375,0.28784772753715515,0.5782383191399276,300,20
qipso,26,58150.375,16433.431640625,0.20852388441562653,0.5787794990465045,300,20
qipso,27,49125.9921875,15273.474609375,0.33327752351760864,0.5780043797567487,300,20
qipso,28,39848.0,15090.119140625,0.49083754420280457,0.5801981678232551,300,20
qipso,29,52299.6875,17136.98046875,0.2937255799770355,0.5765495700761676,300,20
pso,0,49838.6640625,14330.0146484375,0.31882256269454956,0.5032358197495341,300,20
pso,1,58002.640625,14680.533203125,0.258894145488739,0.5067132390104234,300,20
pso,2,57935.6640625,14881.8232421875,0.3399251401424408,0.5047966041602194,300,20
pso,3,53532.171875,14509.8408203125,0.3340039849281311,0.49997423915192485,300,20
pso,4,52857.4375,13794.244140625,0.3803795874118805,0.5053842128254473,300,20
pso,5,58817.8828125,13883.337890625,0.2947593331336975,0.5001584249548614,300,20
pso,6,50050.28125,13283.5341796875,0.3829099237918854,0.5059357197023928,300,20
pso,7,50688.34765625,14172.1611328125,0.3670204281806946,0.501941034104675,300,20
pso,8,53485.0625,14304.595703125,0.36609312891960144,0.50850187567994,300,20
pso,9,52317.9140625,15120.4609375,0.33886098861694336,0.50364995514974,300,20
pso,10,45378.6953125,14818.53515625,0.4966088533401489,0.5054486212320626,300,20
pso,11,56468.484375,14173.998046875,0.19823729991912842,0.5118455830961466,300,20
pso,12,55228.0078125,14925.30078125,0.3426828980445862,0.5036199130117893,300,20
pso,13,68755.6328125,14853.08203125,0.11917074024677277,0.5026616840623319,300,20
pso,14,55593.8046875,15652.583984375,0.35344913601875305,0.5069187763147056,300,20
pso,15,53500.34765625,13889.203125,0.22619634866714478,0.5020218170247972,300,20
pso,16,50594.0,14350.220703125,0.30296361446380615,0.5027852021157742,300,20
pso,17,49650.3515625,15754.462890625,0.3853098452091217,0.5000695348717272,300,20
pso,18,53046.4609375,16142.716796875,0.31087660789489746,0.5015801768749952,300,20
pso,19,41315.125,15607.828125,0.43619850277900696,0.5006939140148461,300,20
pso,20,57523.9609375,14452.9970703125,0.2261791229248047,0.5013674618676305,300,20
pso,21,54780.9921875,13677.4541015625,0.35187816619873047,0.5037702820263803,300,20
pso,22,48438.92578125,13812.0205078125,0.27581310272216797,0.502417747862637,300,20
pso,23,50738.5,14910.515625,0.31613829731941223,0.4976427908986807,300,20
pso,24,49167.5625,15291.5390625,0.35599473118782043,0.5013250513002276,300,20
pso,25,53066.53125,15872.892578125,0.27967023849487305,0.501655834261328,300,20
pso,26,55943.33203125,14230.796875,0.20860745012760162,0.5029050698503852,300,20
pso,27,48860.5078125,13610.4716796875,0.3057534396648407,0.5014904197305441,300,20
pso,28,41577.9140625,14755.220703125,0.4483732283115387,0.5024600522592664,300,20
pso,29,51891.30859375,14803.53515625,0.2545344829559326,0.5000389823690057,300,20
ga,0,85617.296875,19996.81640625,0.3201526701450348,0.5987436389550567,300,20
ga,1,81094.296875,18670.087890625,0.258894145488739,0.5978859798051417,300,20
ga,2,73792.65625,18921.34765625,0.324855774641037,0.5984665518626571,300,20
ga,3,90789.2734375,20274.041015625,0.31843817234039307,0.5995447146706283,300,20
ga,4,96480.28125,19489.935546875,0.3803795874118805,0.5985853811725974,300,20
ga,5,67676.453125,18882.13671875,0.2947593331336975,0.5972743290476501,300,20
ga,6,104577.0546875,19656.275390625,0.3829099237918854,0.5982977570965886,300,20
ga,7,102077.3828125,19002.3671875,0.37986817955970764,0.5980949643999338,300,20
ga,8,63086.08984375,18504.48828125,0.2937453091144562,0.5979143748991191,300,20
ga,9,122930.1875,19197.962890625,0.33886098861694336,0.6010631890967488,300,20
ga,10,87443.5,19941.11328125,0.4726217985153198,0.5996776069514453,300,20
ga,11,124438.234375,20005.673828125,0.19823729991912842,0.5997230070643127,300,20
ga,12,67973.453125,18467.63671875,0.32972338795661926,0.5992673747241497,300,20
ga,13,93876.046875,18496.392578125,0.10978370904922485,0.5981894042342901,300,20
ga,14,75495.65625,19078.521484375,0.32391300797462463,0.5987913240678608,300,20
ga,15,88844.0859375,18239.67578125,0.21297679841518402,0.6009813859127462,300,20
ga,16,93592.796875,19525.7578125,0.2762947678565979,0.5994770298711956,300,20
ga,17,84183.765625,18488.0625,0.37246933579444885,0.5972620728425682,300,20
ga,18,77704.09375,19014.328125,0.2663086950778961,0.5988881550729275,300,20
ga,19,65890.5859375,18833.5546875,0.3856208324432373,0.595843737013638,300,20
ga,20,71369.75,18351.9453125,0.2242419272661209,0.5975868441164494,300,20
ga,21,110236.625,19350.5078125,0.3519497811794281,0.5971100279130042,300,20
ga,22,93605.296875,20024.9765625,0.27581310272216797,0.5970977749675512,300,20
ga,23,95205.859375,19692.107421875,0.31613829731941223,0.6007141619920731,300,20
ga,24,85916.1484375,19519.83984375,0.3327544927597046,0.5989050380885601,300,20
ga,25,77729.7578125,19288.16015625,0.2880967855453491,0.5981166888959706,300,20
ga,26,96959.03125,19181.236328125,0.19775189459323883,0.5985787189565599,300,20
ga,27,88257.71875,19358.55859375,0.3059445023536682,0.5998871247284114,300,20
ga,28,80784.3671875,19414.767578125,0.43001651763916016,0.5993524841032922,300,20
ga,29,92404.3359375,19784.861328125,0.26306626200675964,0.5993198952637613,300,20
de,0,50112.91796875,14029.8544921875,0.30780330300331116,0.5467336061410606,300,20
de,1,56673.5546875,13351.4453125,0.258894145488739,0.5461347317323089,300,20
de,2,57347.6953125,13524.427734375,0.32812875509262085,0.5445842798799276,300,20
de,3,52202.84765625,13847.6640625,0.3453902304172516,0.5449717277660966,300,20
de,4,52378.19140625,13315.0009765625,0.3803795874118805,0.5453858459368348,300,20
de,5,59465.43359375,13581.2880859375,0.27985554933547974,0.5445938799530268,300,20
de,6,50197.84375,13431.09375,0.3829099237918854,0.5445887162350118,300,20
de,7,48856.2265625,14395.576171875,0.40265148878097534,0.5446951761841774,300,20
de,8,54470.5859375,14711.763671875,0.3547411262989044,0.5434496933594346,300,20
de,9,50633.5859375,13436.130859375,0.33886098861694336,0.543586160056293,300,20
de,10,43855.1640625,13423.853515625,0.4987313151359558,0.5437633958645165,300,20
de,11,55749.609375,13455.1201171875,0.19823729991912842,0.5445807399228215,300,20
de,12,54251.51953125,13935.10546875,0.3424593508243561,0.5441215713508427,300,20
de,13,67764.640625,13287.642578125,0.10978370904922485,0.5444244970567524,300,20
de,14,53780.90234375,14269.5205078125,0.36040714383125305,0.5425622882321477,300,20
de,15,52777.0,14586.8759765625,0.25418177247047424,0.5420443131588399,300,20
de,16,49633.0859375,13497.900390625,0.30505213141441345,0.5430760369636118,300,20
de,17,47047.328125,13596.779296875,0.3933858871459961,0.543350582011044,300,20
de,18,52322.59375,14228.107421875,0.2886413335800171,0.5421028099954128,300,20
de,19,40583.3203125,13728.861328125,0.41103944182395935,0.5390952089801431,300,20
de,20,56355.2421875,13284.27734375,0.2261791229248047,0.5450169532559812,300,20
de,21,54907.9140625,14531.9775390625,0.3633510172367096,0.5440245931968093,300,20
de,22,48012.76171875,13385.85546875,0.27581310272216797,0.5371687849983573,300,20
de,23,48873.890625,13795.548828125,0.3304470181465149,0.5355939143337309,300,20
de,24,49255.484375,13843.4931640625,0.32679489254951477,0.54169961810112,300,20
de,25,49591.2734375,13619.873046875,0.3033413589000702,0.5437229466624558,300,20
de,26,55706.4453125,13991.4873046875,0.208561509847641,0.5423641987144947,300,20
de,27,47952.2890625,13955.4306640625,0.33043473958969116,0.5433978498913348,300,20
de,28,40190.78125,14170.46875,0.4648747742176056,0.5449294317513704,300,20
de,29,49954.90625,13860.353515625,0.27449831366539,0.5419577886350453,300,20
greedy,0,114888216.0,243630.734375,0.8275704979896545,0.012756818905472755,1,20
greedy,1,147215600.0,300528.34375,0.6840035915374756,0.012544188182801008,1,20
greedy,2,73390384.0,173177.765625,0.6945160627365112,0.012403298169374466,1,20
greedy,3,151122304.0,307131.8125,0.7606518268585205,0.01249882997944951,1,20
greedy,4,62189460.0,153864.6875,0.6312783360481262,0.01272201631218195,1,20
greedy,5,84533952.0,192616.296875,0.6887364983558655,0.012536249123513699,1,20
greedy,6,134130560.0,276724.8125,0.7722421884536743,0.012516327667981386,1,20
greedy,7,177330240.0,353106.5625,0.7116334438323975,0.0123839289881289,1,20
greedy,8,144686944.0,295346.75,0.7978531122207642,0.012582405004650354,1,20
greedy,9,100217360.0,218576.0,0.7490308284759521,0.012730962131172419,1,20
greedy,10,120421840.0,252804.875,0.6902756094932556,0.012521026190370321,1,20
greedy,11,97869912.0,215049.59375,0.724609911441803,0.01265565911307931,1,20
greedy,12,66273280.0,161065.78125,0.7189841270446777,0.012661827262490988,1,20
greedy,13,139347008.0,286296.1875,0.7136223316192627,0.012492450885474682,1,20
greedy,14,210627024.0,413378.28125,0.7457007765769958,0.012368042021989822,1,20
greedy,15,60959028.0,150822.71875,0.7167924642562866,0.012624157126992941,1,20
greedy,16,224228352.0,438129.96875,0.7454962134361267,0.012492244131863117,1,20
greedy,17,273110400.0,528712.875,0.724212646484375,0.012443446088582277,1,20
greedy,18,143503648.0,293364.28125,0.7311597466468811,0.012844768818467855,1,20
greedy,19,58027208.0,146536.0625,0.8353146314620972,0.012872474733740091,1,20
greedy,20,208390688.0,408817.40625,0.727126955986023,0.013453682884573936,1,20
greedy,21,147424336.0,300074.53125,0.6743693947792053,0.012297358829528093,1,20
greedy,22,92378696.0,205569.71875,0.8667374849319458,0.012369598727673292,1,20
greedy,23,79999048.0,184264.9375,0.783474862575531,0.012749969959259033,1,20
greedy,24,95339736.0,209593.203125,0.777502179145813,0.012778309173882008,1,20
greedy,25,140152736.0,288026.9375,0.7489902973175049,0.012645819690078497,1,20
greedy,26,61780864.0,152477.734375,0.7332689166069031,0.01225486071780324,1,20
greedy,27,115098320.0,244852.0625,0.7508625388145447,0.012406082358211279,1,20
greedy,28,131849040.0,273016.625,0.7873925566673279,0.012374041136354208,1,20
greedy,29,69955344.0,166711.296875,0.7552264332771301,0.012562281917780638,1,20
straight,0,49490.3359375,12518.6533203125,0.290756493806839,0.007346067111939192,1,20
straight,1,55840.76171875,12518.6533203125,0.258894145488739,0.007660119328647852,1,20
straight,2,56978.921875,12518.6533203125,0.31836262345314026,0.007531930226832628,1,20
straight,3,52903.6796875,12518.6533203125,0.3107467591762543,0.0075924331322312355,1,20
straight,4,51581.84375,12518.6533203125,0.3803795874118805,0.007468177936971188,1,20
straight,5,57653.7265625,12518.6533203125,0.29161208868026733,0.007599065080285072,1,20
straight,6,49285.40234375,12518.6533203125,0.3829099237918854,0.007610364351421595,1,20
straight,7,49782.56640625,12518.6533203125,0.3540591299533844,0.00744227971881628,1,20
straight,8,55482.94140625,12518.6533203125,0.30271852016448975,0.007610043976455927,1,20
straight,9,49716.10546875,12518.6533203125,0.33886098861694336,0.007527157198637724,1,20
straight,10,45447.53125,12518.6533203125,0.4575909674167633,0.007655543275177479,1,20
straight,11,54813.140625,12518.6533203125,0.19823729991912842,0.007635076995939016,1,20
straight,12,53597.69140625,12518.6533203125,0.33002132177352905,0.007537839002907276,1,20
